"","outfvc","outsvc","outsnip","outpeak"
"outfvc",1,0.949438569688522,0.573141904616318,0.748034880363481
"outsvc",0.949438569688522,1,0.577974286058027,0.765038691929896
"outsnip",0.573141904616318,0.577974286058027,1,0.607625817914565
"outpeak",0.748034880363481,0.765038691929896,0.607625817914565,1
