"","outfvc","outsvc","outsnip","outpeak"
"outfvc",1,0.926913200788628,0.481540332884326,0.652246577639234
"outsvc",0.926913200788628,1,0.493950698191008,0.676000324775453
"outsnip",0.481540332884326,0.493950698191008,1,0.487936747104673
"outpeak",0.652246577639234,0.676000324775453,0.487936747104673,1
