"","outfvc","outsvc","outsnip","outpeak"
"outfvc",1,0.945000932575312,0.55223770519756,0.725252346844954
"outsvc",0.945000932575312,1,0.558989626889439,0.743665026162033
"outsnip",0.55223770519756,0.558989626889439,1,0.580378663900417
"outpeak",0.725252346844954,0.743665026162033,0.580378663900417,1
