"","outfvc","outsvc","outsnip","outpeak"
"outfvc",1,0.937257760920041,0.518520407796473,0.691157421210703
"outsvc",0.937257760920041,1,0.528893531472155,0.712709960317472
"outsnip",0.518520407796473,0.528893531472155,1,0.536776556435506
"outpeak",0.691157421210703,0.712709960317472,0.536776556435506,1
